metric_month,product,billingCountry,no_customers,mrr
2016-03-01,PRO,France,59,5161.468333333326
2016-03-01,PRO,India,150,13594.228333333322
2016-03-01,PRO,United Kingdom,240,20532.6866666667
2016-03-01,PRO,United States,209,18395.34500000001
2016-04-01,BUSINESS,Canada,11,4015.8999999999996
2016-04-01,BUSINESS,France,12,4343.896666666666
2016-04-01,BUSINESS,India,23,8260.594166666664
2016-04-01,BUSINESS,United Kingdom,40,14551.637499999997
2016-04-01,BUSINESS,United States,42,15028.425833333333
2016-04-01,GURU,Canada,41,7495.626666666664
2016-04-01,GURU,France,32,5334.137499999999
2016-04-01,GURU,India,86,14764.871666666662
2016-04-01,GURU,United Kingdom,127,22223.700000000033
2016-04-01,GURU,United States,126,21915.715000000022
2016-04-01,PRO,Canada,79,6850.4916666666595
2016-04-01,PRO,France,71,6031.3649999999925
2016-04-01,PRO,India,156,13993.38499999999
2016-04-01,PRO,United Kingdom,283,24874.28666666677
2016-04-01,PRO,United States,240,20999.05333333339
2016-05-01,BUSINESS,Canada,13,4615.889999999999
2016-05-01,BUSINESS,France,12,4279.898333333333
2016-05-01,BUSINESS,India,24,8396.595833333333
2016-05-01,BUSINESS,United Kingdom,42,15007.629166666664
2016-05-01,BUSINESS,United States,50,17292.372499999998
2016-05-01,GURU,Canada,41,7234.044999999999
2016-05-01,GURU,France,46,7796.421666666664
2016-05-01,GURU,India,88,15100.854166666664
2016-05-01,GURU,United Kingdom,156,27348.247500000063
2016-05-01,GURU,United States,134,23040.455000000038
2016-05-01,PRO,Canada,86,7440.438333333328
2016-05-01,PRO,France,81,6922.478333333325
2016-05-01,PRO,India,182,16264.355833333322
2016-05-01,PRO,United Kingdom,308,27200.868333333456
2016-05-01,PRO,United States,273,23925.96166666675
2016-06-01,BUSINESS,Canada,15,5615.859999999999
2016-06-01,BUSINESS,France,9,3343.916666666666
2016-06-01,BUSINESS,India,31,10676.534999999998
2016-06-01,BUSINESS,United Kingdom,48,17199.5725
2016-06-01,BUSINESS,United States,50,17113.17916666667
2016-06-01,GURU,Canada,52,9501.926666666664
2016-06-01,GURU,France,56,9504.341666666665
2016-06-01,GURU,India,90,15384.849166666665
2016-06-01,GURU,United Kingdom,172,30006.502500000082
2016-06-01,GURU,United States,156,27132.248333333384
2016-06-01,PRO,Canada,97,8399.54666666666
2016-06-01,PRO,France,74,6366.549166666661
2016-06-01,PRO,India,199,17580.209166666682
2016-06-01,PRO,United Kingdom,317,27722.01083333349
2016-06-01,PRO,United States,286,24763.87000000009
2016-07-01,BUSINESS,Canada,14,4815.889999999999
2016-07-01,BUSINESS,France,10,3807.9049999999997
2016-07-01,BUSINESS,India,31,10828.528333333332
2016-07-01,BUSINESS,United Kingdom,58,20671.48416666667
2016-07-01,BUSINESS,United States,60,20905.082500000015
2016-07-01,GURU,Canada,55,10004.301666666664
2016-07-01,GURU,France,62,10734.668333333331
2016-07-01,GURU,India,107,18755.06416666668
2016-07-01,GURU,United Kingdom,174,30168.100833333432
2016-07-01,GURU,United States,157,26861.868333333394
2016-07-01,PRO,Canada,105,9113.47666666666
2016-07-01,PRO,France,99,8876.307499999992
2016-07-01,PRO,India,229,20281.923333333376
2016-07-01,PRO,United Kingdom,366,31793.964166666858
2016-07-01,PRO,United States,325,28697.91166666682
2016-08-01,BUSINESS,Canada,17,6007.853333333333
2016-08-01,BUSINESS,France,10,3663.906666666666
2016-08-01,BUSINESS,India,41,14716.43333333333
2016-08-01,BUSINESS,United Kingdom,56,19889.100833333345
2016-08-01,BUSINESS,United States,68,23441.022500000017
2016-08-01,GURU,Canada,66,11840.213333333331
2016-08-01,GURU,France,66,11330.640833333331
2016-08-01,GURU,India,115,20194.197500000017
2016-08-01,GURU,United Kingdom,216,37394.15666666671
2016-08-01,GURU,United States,195,33733.530833333425
2016-08-01,PRO,Canada,133,11613.214166666658
2016-08-01,PRO,France,108,9560.640833333327
2016-08-01,PRO,India,254,22673.308333333403
2016-08-01,PRO,United Kingdom,388,34044.974166666834
2016-08-01,PRO,United States,348,30260.1458333335
2016-09-01,BUSINESS,Canada,12,4223.895
2016-09-01,BUSINESS,France,13,4719.878333333332
2016-09-01,BUSINESS,India,47,16588.396666666664
2016-09-01,BUSINESS,United Kingdom,65,22961.022500000014
2016-09-01,BUSINESS,United States,82,28530.490833333362
2016-09-01,GURU,Canada,77,13652.128333333332
2016-09-01,GURU,France,83,14552.884999999997
2016-09-01,GURU,India,134,23526.827500000036
2016-09-01,GURU,United Kingdom,228,39268.46583333336
2016-09-01,GURU,United States,206,35227.056666666715
2016-09-01,PRO,Canada,144,12641.116666666656
2016-09-01,PRO,France,124,10873.698333333326
2016-09-01,PRO,India,263,23168.450000000073
2016-09-01,PRO,United Kingdom,427,37274.249166666734
2016-09-01,PRO,United States,412,35837.15666666684
2016-10-01,BUSINESS,Canada,15,5359.866666666667
2016-10-01,BUSINESS,France,20,7471.811666666665
2016-10-01,BUSINESS,India,44,15188.425
2016-10-01,BUSINESS,United Kingdom,77,27437.71083333337
2016-10-01,BUSINESS,United States,83,28626.491666666694
2016-10-01,GURU,Canada,82,14436.082499999999
2016-10-01,GURU,France,75,12579.385
2016-10-01,GURU,India,157,27241.04666666672
2016-10-01,GURU,United Kingdom,257,44686.60249999997
2016-10-01,GURU,United States,252,44010.6375
2016-10-01,PRO,Canada,167,14708.106666666654
2016-10-01,PRO,France,146,12898.70166666666
2016-10-01,PRO,India,310,27250.819166666755
2016-10-01,PRO,United Kingdom,477,41438.20583333333
2016-10-01,PRO,United States,472,41246.615000000034
2016-11-01,BUSINESS,Canada,17,6095.848333333333
2016-11-01,BUSINESS,France,25,9159.776666666665
2016-11-01,BUSINESS,India,60,20988.283333333336
2016-11-01,BUSINESS,United Kingdom,99,34925.523333333374
2016-11-01,BUSINESS,United States,97,34394.346666666715
2016-11-01,GURU,Canada,94,16319.984999999999
2016-11-01,GURU,France,99,16783.983333333334
2016-11-01,GURU,India,180,31771.22166666677
2016-11-01,GURU,United Kingdom,275,47598.454166666575
2016-11-01,GURU,United States,262,45936.13249999993
2016-11-01,PRO,Canada,172,14767.282499999992
2016-11-01,PRO,France,143,12345.951666666664
2016-11-01,PRO,India,338,29613.775000000154
2016-11-01,PRO,United Kingdom,500,43249.21416666649
2016-11-01,PRO,United States,509,44253.50749999986
2016-12-01,BUSINESS,Canada,25,9031.779999999999
2016-12-01,BUSINESS,France,21,7631.8099999999995
2016-12-01,BUSINESS,India,56,19591.51333333334
2016-12-01,BUSINESS,United Kingdom,91,31437.626666666714
2016-12-01,BUSINESS,United States,84,58650.48833333333
2016-12-01,GURU,Canada,105,18311.901666666683
2016-12-01,GURU,France,93,15860.016666666665
2016-12-01,GURU,India,195,34259.90500000009
2016-12-01,GURU,United Kingdom,301,52146.239166666535
2016-12-01,GURU,United States,277,48507.98666666656
2016-12-01,PRO,Canada,156,13308.65583333333
2016-12-01,PRO,France,162,14023.782499999996
2016-12-01,PRO,India,327,28623.110000000168
2016-12-01,PRO,United Kingdom,490,42125.339166666476
2016-12-01,PRO,United States,488,42082.9508333332
2017-01-01,BUSINESS,Canada,30,10951.729999999998
2017-01-01,BUSINESS,France,19,6687.831666666667
2017-01-01,BUSINESS,India,52,18151.553333333337
2017-01-01,BUSINESS,United Kingdom,81,28173.709166666704
2017-01-01,BUSINESS,United States,74,25066.58000000002
2017-01-01,GURU,Canada,151,27053.85500000007
2017-01-01,GURU,France,192,34444.70833333342
2017-01-01,GURU,India,274,48114.42499999999
2017-01-01,GURU,United Kingdom,439,76884.24083333321
2017-01-01,GURU,United States,428,76891.38666666667
2017-01-01,PRO,Canada,157,13382.646666666664
2017-01-01,PRO,France,168,14399.73833333333
2017-01-01,PRO,India,292,25153.884166666787
2017-01-01,PRO,United Kingdom,444,37830.99666666652
2017-01-01,PRO,United States,467,39951.57666666648
2017-02-01,BUSINESS,Canada,24,8623.783333333333
2017-02-01,BUSINESS,France,25,9167.771666666666
2017-02-01,BUSINESS,India,51,17735.56166666667
2017-02-01,BUSINESS,United Kingdom,81,27917.718333333378
2017-02-01,BUSINESS,United States,72,24234.595833333347
2017-02-01,GURU,Canada,157,27969.806666666736
2017-02-01,GURU,France,226,40454.80833333336
2017-02-01,GURU,India,320,56516.40166666652
2017-02-01,GURU,United Kingdom,511,89989.1541666668
2017-02-01,GURU,United States,479,85818.15250000013
2017-02-01,PRO,Canada,172,14472.919166666661
2017-02-01,PRO,France,207,17978.572500000017
2017-02-01,PRO,India,289,24813.9225000001
2017-02-01,PRO,United Kingdom,448,38176.96499999987
2017-02-01,PRO,United States,482,41233.852499999804
2017-03-01,BUSINESS,Canada,25,9039.774999999998
2017-03-01,BUSINESS,France,33,12079.694999999998
2017-03-01,BUSINESS,India,55,19159.52833333334
2017-03-01,BUSINESS,United Kingdom,78,26941.735000000022
2017-03-01,BUSINESS,United States,74,24570.597500000014
2017-03-01,GURU,Canada,181,32111.996666666742
2017-03-01,GURU,France,311,55838.838333333275
2017-03-01,GURU,India,348,61670.55749999978
2017-03-01,GURU,United Kingdom,554,96411.2975000004
2017-03-01,GURU,United States,483,85665.35750000019
2017-03-01,PRO,Canada,193,16368.733333333326
2017-03-01,PRO,France,245,21646.61750000006
2017-03-01,PRO,India,301,25793.81083333343
2017-03-01,PRO,United Kingdom,438,37283.864166666586
2017-03-01,PRO,United States,481,40847.47749999979
2017-04-01,BUSINESS,Canada,31,11095.726666666666
2017-04-01,BUSINESS,France,37,13431.668333333331
2017-04-01,BUSINESS,India,51,17793.157500000005
2017-04-01,BUSINESS,United Kingdom,82,27986.509166666692
2017-04-01,BUSINESS,United States,77,26250.54750000002
2017-04-01,GURU,Canada,250,44587.402500000026
2017-04-01,GURU,France,377,67377.48083333317
2017-04-01,GURU,India,371,65690.34249999965
2017-04-01,GURU,United Kingdom,583,101913.36083333407
2017-04-01,GURU,United States,556,98591.1391666672
2017-04-01,PRO,Canada,202,17431.853333333343
2017-04-01,PRO,France,263,23179.656666666742
2017-04-01,PRO,India,304,26061.784166666763
2017-04-01,PRO,United Kingdom,460,39115.64083333318
2017-04-01,PRO,United States,504,42891.670833333046
2017-05-01,BUSINESS,Canada,25,8911.778333333334
2017-05-01,BUSINESS,France,37,13257.269999999999
2017-05-01,BUSINESS,India,55,19185.120833333338
2017-05-01,BUSINESS,United Kingdom,86,28994.494166666685
2017-05-01,BUSINESS,United States,78,26818.53333333335
2017-05-01,GURU,Canada,276,48436.01166666662
2017-05-01,GURU,France,486,87162.86750000024
2017-05-01,GURU,India,389,67802.25999999969
2017-05-01,GURU,United Kingdom,606,106080.33750000093
2017-05-01,GURU,United States,604,106625.14166666742
2017-05-01,PRO,Canada,202,17185.063333333335
2017-05-01,PRO,France,279,24535.529166666773
2017-05-01,PRO,India,312,26863.70916666677
2017-05-01,PRO,United Kingdom,441,37411.82083333329
2017-05-01,PRO,United States,480,40478.70833333309
2017-06-01,BUSINESS,Canada,25,8847.78
2017-06-01,BUSINESS,France,55,19881.105000000003
2017-06-01,BUSINESS,India,51,17625.160000000003
2017-06-01,BUSINESS,United Kingdom,87,29730.465833333354
2017-06-01,BUSINESS,United States,68,22706.630000000012
2017-06-01,GURU,Canada,296,52138.221666666504
2017-06-01,GURU,France,553,98379.15250000042
2017-06-01,GURU,India,419,72997.99499999991
2017-06-01,GURU,United Kingdom,667,116393.44333333462
2017-06-01,GURU,United States,635,111333.71916666768
2017-06-01,PRO,Canada,209,17873.80583333334
2017-06-01,PRO,France,306,26897.299166666784
2017-06-01,PRO,India,304,25898.19583333342
2017-06-01,PRO,United Kingdom,442,37786.59333333322
2017-06-01,PRO,United States,482,40888.686666666385
2017-07-01,BUSINESS,Canada,27,9647.76
2017-07-01,BUSINESS,France,65,23497.01500000002
2017-07-01,BUSINESS,India,55,18977.13333333334
2017-07-01,BUSINESS,United Kingdom,81,27914.50583333336
2017-07-01,BUSINESS,United States,79,27202.521666666693
2017-07-01,GURU,Canada,326,57259.5866666664
2017-07-01,GURU,France,654,114886.38500000088
2017-07-01,GURU,India,451,78972.09333333343
2017-07-01,GURU,United Kingdom,703,121717.16166666815
2017-07-01,GURU,United States,626,109326.61166666773
2017-07-01,PRO,Canada,228,19640.827500000025
2017-07-01,PRO,France,360,31756.80250000019
2017-07-01,PRO,India,316,27050.88916666674
2017-07-01,PRO,United Kingdom,439,37191.43416666659
2017-07-01,PRO,United States,507,43332.44583333303
2017-08-01,BUSINESS,Canada,27,9383.771666666667
2017-08-01,BUSINESS,France,74,26760.9316666667
2017-08-01,BUSINESS,India,64,22105.05833333335
2017-08-01,BUSINESS,United Kingdom,73,24973.779166666693
2017-08-01,BUSINESS,United States,82,28199.3016666667
2017-08-01,GURU,Canada,356,62813.69583333302
2017-08-01,GURU,France,775,136760.49166666792
2017-08-01,GURU,India,502,87472.47000000034
2017-08-01,GURU,United Kingdom,745,128724.8141666683
