churn_month,product,billingCountry,starting_revenue,starting_customers,retained_revenue,retained_customers
2015-11-01,BUSINESS,United Kingdom,6639.835000000001,19,5039.875000000001,15
2015-11-01,BUSINESS,United States,5567.864166666666,16,3047.9141666666674,11
2015-11-01,GURU,Canada,5107.748333333333,28,3147.838333333334,19
2015-11-01,GURU,France,3299.8358333333344,19,2499.875833333334,15
2015-11-01,GURU,India,7036.4541666666655,39,4436.574166666667,26
2015-11-01,GURU,United Kingdom,9829.92083333333,55,5330.130833333333,32
2015-11-01,GURU,United States,8961.151666666665,50,6781.2750000000015,38
2015-11-01,PRO,Canada,3205.6716666666653,36,2375.7716666666656,26
2015-11-01,PRO,France,2071.7933333333326,23,1055.895,13
2015-11-01,PRO,India,5175.873333333331,58,3450.0549999999994,40
2015-11-01,PRO,United Kingdom,9172.274999999992,104,7362.515,80
2015-11-01,PRO,United States,9091.456666666658,103,6025.788333333334,70
2015-12-01,BUSINESS,Canada,1871.9533333333334,5,1071.9733333333334,3
2015-12-01,BUSINESS,France,2271.9433333333336,6,871.9633333333334,4
2015-12-01,BUSINESS,India,2591.9333333333334,7,1371.9433333333334,6
2015-12-01,BUSINESS,United Kingdom,7439.8150000000005,21,5439.865000000002,16
2015-12-01,BUSINESS,United States,6927.8325,20,4927.882500000001,15
2015-12-01,GURU,Canada,4347.788333333333,24,2947.8583333333336,17
2015-12-01,GURU,France,4499.775833333333,25,2999.8458333333338,18
2015-12-01,GURU,India,7604.425833333332,42,4704.565833333334,27
2015-12-01,GURU,United Kingdom,10825.874166666663,61,7068.440833333333,44
2015-12-01,GURU,United States,10991.446666666665,62,7563.610000000002,46
2015-12-01,PRO,Canada,3359.6633333333325,37,2559.743333333333,29
2015-12-01,PRO,France,2637.7299999999987,30,1749.8358333333324,20
2015-12-01,PRO,India,7536.844999999997,83,5159.108333333334,57
2015-12-01,PRO,United Kingdom,11149.265833333324,127,8127.609166666666,93
2015-12-01,PRO,United States,9833.379999999994,112,7404.520000000001,79
2016-01-01,BUSINESS,Canada,1871.9533333333334,5,1071.9733333333334,3
2016-01-01,BUSINESS,France,1871.9533333333334,5,1071.9733333333334,3
2016-01-01,BUSINESS,India,2476.7383333333337,7,1376.7583333333332,5
2016-01-01,BUSINESS,United Kingdom,8095.796666666667,23,5439.865000000002,16
2016-01-01,BUSINESS,United States,7788.609166666667,23,5768.649166666667,18
2016-01-01,GURU,Canada,4415.79,25,3615.8233333333337,21
2016-01-01,GURU,France,3667.817500000001,21,2767.857500000001,17
2016-01-01,GURU,India,7208.440833333332,40,5328.535833333334,31
2016-01-01,GURU,United Kingdom,11660.23583333333,67,7764.4175000000005,46
2016-01-01,GURU,United States,12175.41,71,9103.558333333336,53
2016-01-01,PRO,Canada,3891.598333333333,44,2811.7283333333335,31
2016-01-01,PRO,France,2933.7075,33,1649.8458333333326,19
2016-01-01,PRO,India,7142.871666666665,81,5747.0633333333335,62
2016-01-01,PRO,United Kingdom,12775.09833333332,147,9639.469999999996,110
2016-01-01,PRO,United States,10391.339999999995,118,7471.680000000002,84
2016-02-01,BUSINESS,Canada,2143.9466666666667,6,2143.9466666666667,6
2016-02-01,BUSINESS,France,2207.945,6,1007.975,3
2016-02-01,BUSINESS,India,4812.6799999999985,13,1912.7400000000002,7
2016-02-01,BUSINESS,United Kingdom,10463.7425,30,6543.834166666668,21
2016-02-01,BUSINESS,United States,11844.50083333333,33,8004.600833333333,23
2016-02-01,GURU,Canada,5387.736666666667,30,3769.805000000001,22
2016-02-01,GURU,France,5342.129999999999,31,4022.2000000000007,24
2016-02-01,GURU,India,7916.410833333334,45,5400.512500000002,34
2016-02-01,GURU,United Kingdom,13744.119999999995,78,10180.289999999999,60
2016-02-01,GURU,United States,13895.309166666664,79,9355.529166666669,56
2016-02-01,PRO,Canada,4469.540833333333,51,3585.679166666667,37
2016-02-01,PRO,France,3245.672499999999,37,2135.782499999999,26
2016-02-01,PRO,India,9786.619999999995,108,6920.951666666669,75
2016-02-01,PRO,United Kingdom,15654.812499999987,179,11153.324166666662,128
2016-02-01,PRO,United States,12423.142499999994,140,9345.528333333334,102
2016-03-01,BUSINESS,Canada,3599.908333333333,10,2479.9383333333335,7
2016-03-01,BUSINESS,France,2543.9366666666665,7,2143.9466666666667,6
2016-03-01,BUSINESS,India,6668.631666666665,18,3948.701666666666,11
2016-03-01,BUSINESS,United Kingdom,10415.745833333334,30,8079.804166666668,24
2016-03-01,BUSINESS,United States,12948.477499999997,36,8432.569166666666,27
2016-03-01,GURU,Canada,7687.615,42,4959.743333333335,29
2016-03-01,GURU,France,6814.056666666666,39,5014.156666666667,29
2016-03-01,GURU,India,9082.750833333332,52,6332.870833333335,39
2016-03-01,GURU,United Kingdom,20702.176666666677,114,12474.556666666665,73
2016-03-01,GURU,United States,16991.159166666657,97,12459.390833333337,74
2016-03-01,PRO,Canada,5391.445833333332,61,3675.635833333333,42
2016-03-01,PRO,France,4259.563333333332,49,2579.733333333333,32
2016-03-01,PRO,India,11538.433333333325,128,8774.771666666666,94
2016-03-01,PRO,United Kingdom,20546.331666666665,231,14594.194999999994,165
2016-03-01,PRO,United States,17167.863333333324,193,11792.485,131
2016-04-01,BUSINESS,Canada,3479.918333333333,10,2279.9383333333335,7
2016-04-01,BUSINESS,France,3743.906666666666,10,2143.9466666666667,6
2016-04-01,BUSINESS,India,7820.604999999999,21,3684.703333333334,11
2016-04-01,BUSINESS,United Kingdom,12551.697499999998,36,8379.764166666666,27
2016-04-01,BUSINESS,United States,13396.4625,38,9520.530833333332,31
2016-04-01,GURU,Canada,8831.56,48,4611.766666666669,27
2016-04-01,GURU,France,5714.116666666667,34,4516.181666666667,27
