metric_month,billingCountry,product_outcome,no_customers
2017-05-01,India,Upgrade,11
2017-05-01,United Kingdom,Upgrade,17
2017-05-01,United States,Upgrade,7
2017-06-01,Canada,Downgrade,8
2017-06-01,France,Downgrade,13
2017-06-01,India,Downgrade,6
2017-06-01,United Kingdom,Downgrade,13
2017-06-01,United States,Downgrade,15
2017-06-01,Canada,Upgrade,11
2017-06-01,France,Upgrade,19
2017-06-01,India,Upgrade,8
2017-06-01,United Kingdom,Upgrade,14
2017-06-01,United States,Upgrade,22
2017-07-01,Canada,Downgrade,7
2017-07-01,France,Downgrade,9
2017-07-01,India,Downgrade,12
2017-07-01,United Kingdom,Downgrade,21
2017-07-01,United States,Downgrade,11
2017-07-01,Canada,Upgrade,8
2017-07-01,France,Upgrade,18
2017-07-01,India,Upgrade,11
2017-07-01,United Kingdom,Upgrade,20
2017-07-01,United States,Upgrade,9
2017-08-01,Canada,Downgrade,5
2017-08-01,France,Downgrade,13
2017-08-01,India,Downgrade,5
2017-08-01,United Kingdom,Downgrade,19
2017-08-01,United States,Downgrade,14
2017-08-01,Canada,Upgrade,14
2017-08-01,France,Upgrade,12
2017-08-01,India,Upgrade,7
2017-08-01,United Kingdom,Upgrade,6
2017-08-01,United States,Upgrade,21
2017-09-01,Canada,Downgrade,8
2017-09-01,France,Downgrade,12
2017-09-01,India,Downgrade,5
2017-09-01,United Kingdom,Downgrade,20
2017-09-01,United States,Downgrade,16
2017-09-01,Canada,Upgrade,9
2017-09-01,France,Upgrade,20
2017-09-01,India,Upgrade,15
2017-09-01,United Kingdom,Upgrade,21
2017-09-01,United States,Upgrade,12
2017-10-01,Canada,Downgrade,5
2017-10-01,France,Downgrade,14
2017-10-01,India,Downgrade,13
2017-10-01,United Kingdom,Downgrade,15
2017-10-01,United States,Downgrade,13
2017-10-01,Canada,Upgrade,5
2017-10-01,France,Upgrade,11
2017-10-01,India,Upgrade,5
2017-10-01,United Kingdom,Upgrade,14
2017-10-01,United States,Upgrade,14
2017-11-01,Canada,Downgrade,6
2017-11-01,France,Downgrade,7
2017-11-01,India,Downgrade,7
2017-11-01,United Kingdom,Downgrade,5
2017-11-01,United States,Downgrade,6
2017-11-01,Canada,Upgrade,8
2017-11-01,France,Upgrade,12
2017-11-01,India,Upgrade,6
2017-11-01,United Kingdom,Upgrade,8
2017-11-01,United States,Upgrade,12
