metric_month,product,billingCountry,customers_acquired,cancelled_customers,customer_base
2016-02-01,GURU,Canada,19,8,30
2016-02-01,PRO,United Kingdom,103,51,179
2016-02-01,BUSINESS,United Kingdom,10,9,30
2016-02-01,GURU,United Kingdom,53,18,78
2016-02-01,BUSINESS,United States,12,10,33
2016-02-01,PRO,United States,94,38,140
2016-02-01,GURU,India,20,11,45
2016-03-01,GURU,Canada,20,13,42
2016-03-01,BUSINESS,United Kingdom,11,6,30
2016-03-01,GURU,India,34,13,52
2016-03-01,BUSINESS,India,10,7,18
2016-03-01,PRO,United Kingdom,75,66,231
2016-03-01,GURU,United Kingdom,42,41,114
2016-03-01,PRO,Canada,30,19,61
2016-03-01,GURU,United States,32,23,97
2016-03-01,BUSINESS,Canada,3,3,10
2016-03-01,PRO,France,27,17,49
2016-03-01,PRO,United States,80,62,193
2016-03-01,BUSINESS,France,3,1,7
2016-03-01,PRO,India,59,34,128
2016-03-01,GURU,France,6,10,39
2016-03-01,BUSINESS,United States,12,9,36
2016-04-01,GURU,France,9,7,34
2016-04-01,BUSINESS,United States,14,7,38
2016-04-01,BUSINESS,United Kingdom,15,9,36
2016-04-01,PRO,United Kingdom,93,55,240
2016-04-01,GURU,United States,44,31,109
2016-04-01,BUSINESS,France,4,4,10
2016-04-01,PRO,France,29,19,59
2016-04-01,GURU,Canada,13,21,48
2016-04-01,GURU,United Kingdom,43,27,114
2016-04-01,PRO,India,55,47,150
2016-04-01,GURU,India,33,25,76
2016-04-01,BUSINESS,India,12,10,21
2016-04-01,BUSINESS,Canada,5,3,10
2016-04-01,PRO,Canada,28,22,73
2016-04-01,PRO,United States,90,58,209
2016-05-01,GURU,Canada,10,11,41
2016-05-01,BUSINESS,France,4,3,12
2016-05-01,PRO,India,67,45,156
2016-05-01,BUSINESS,United Kingdom,15,10,40
2016-05-01,PRO,Canada,33,25,79
2016-05-01,GURU,France,21,7,32
2016-05-01,BUSINESS,United States,16,11,42
2016-05-01,GURU,India,27,22,86
2016-05-01,PRO,United Kingdom,102,76,283
2016-05-01,GURU,United Kingdom,54,29,127
2016-05-01,BUSINESS,Canada,3,1,11
2016-05-01,PRO,United States,104,69,240
2016-05-01,BUSINESS,India,11,9,23
2016-05-01,GURU,United States,43,34,126
2016-05-01,PRO,France,28,19,71
2016-06-01,GURU,India,25,21,88
2016-06-01,BUSINESS,France,3,5,12
2016-06-01,BUSINESS,United States,13,14,50
2016-06-01,PRO,United Kingdom,82,73,308
2016-06-01,GURU,United Kingdom,55,41,156
2016-06-01,BUSINESS,Canada,7,3,13
2016-06-01,GURU,Canada,17,6,41
2016-06-01,BUSINESS,United Kingdom,17,9,42
2016-06-01,PRO,India,65,50,182
2016-06-01,GURU,France,22,13,46
2016-06-01,BUSINESS,India,13,6,24
2016-06-01,PRO,United States,87,76,273
2016-06-01,GURU,United States,53,28,134
2016-06-01,PRO,France,18,25,81
2016-06-01,PRO,Canada,29,20,86
2016-07-01,GURU,Canada,15,11,52
2016-07-01,BUSINESS,United States,18,10,50
2016-07-01,PRO,United States,113,69,286
2016-07-01,BUSINESS,Canada,4,5,15
2016-07-01,PRO,Canada,27,20,97
2016-07-01,GURU,France,16,9,56
2016-07-01,PRO,France,39,15,74
2016-07-01,BUSINESS,France,5,4,9
2016-07-01,GURU,India,37,20,90
2016-07-01,GURU,United Kingdom,48,42,172
2016-07-01,BUSINESS,India,8,8,31
2016-07-01,PRO,India,76,46,199
2016-07-01,GURU,United States,38,40,156
2016-07-01,PRO,United Kingdom,116,74,317
2016-07-01,BUSINESS,United Kingdom,27,14,48
2016-08-01,GURU,United States,69,31,157
2016-08-01,BUSINESS,United States,22,12,60
2016-08-01,PRO,India,82,58,229
2016-08-01,PRO,Canada,49,20,105
2016-08-01,GURU,United Kingdom,82,38,174
2016-08-01,BUSINESS,France,4,3,10
2016-08-01,GURU,France,21,19,62
2016-08-01,BUSINESS,United Kingdom,18,18,58
2016-08-01,PRO,France,37,27,99
2016-08-01,PRO,United Kingdom,108,90,366
2016-08-01,GURU,India,39,30,107
2016-08-01,BUSINESS,Canada,6,3,14
2016-08-01,GURU,Canada,22,12,55
2016-08-01,PRO,United States,107,86,325
2016-08-01,BUSINESS,India,17,7,31
2016-09-01,GURU,India,41,27,115
2016-09-01,BUSINESS,United States,29,16,68
2016-09-01,PRO,France,51,32,108
2016-09-01,BUSINESS,Canada,3,7,17
2016-09-01,GURU,Canada,26,17,66
2016-09-01,PRO,United States,144,81,348
2016-09-01,GURU,United Kingdom,64,51,216
2016-09-01,PRO,Canada,49,37,133
2016-09-01,BUSINESS,France,7,4,10
2016-09-01,GURU,United States,58,45,195
2016-09-01,BUSINESS,India,19,14,41
2016-09-01,PRO,United Kingdom,124,85,388
2016-09-01,GURU,France,28,14,66
2016-09-01,PRO,India,85,70,254
2016-09-01,BUSINESS,United Kingdom,22,14,56
2016-10-01,PRO,France,49,29,124
2016-10-01,BUSINESS,United States,19,18,82
2016-10-01,GURU,India,50,35,134
2016-10-01,BUSINESS,United Kingdom,28,13,65
2016-10-01,GURU,Canada,21,17,77
2016-10-01,BUSINESS,France,9,4,13
2016-10-01,PRO,United States,171,103,412
2016-10-01,PRO,Canada,60,38,144
2016-10-01,GURU,United States,87,49,206
2016-10-01,GURU,France,20,24,83
2016-10-01,BUSINESS,India,11,13,47
2016-10-01,PRO,United Kingdom,151,97,427
2016-10-01,GURU,United Kingdom,82,60,228
2016-10-01,BUSINESS,Canada,6,1,12
2016-10-01,PRO,India,109,55,263
2016-11-01,GURU,France,27,11,75
2016-11-01,PRO,France,43,37,146
2016-11-01,BUSINESS,United Kingdom,39,18,77
2016-11-01,PRO,United Kingdom,141,108,477
2016-11-01,GURU,United States,67,68,252
2016-11-01,BUSINESS,France,11,7,20
2016-11-01,GURU,Canada,20,14,82
2016-11-01,PRO,United States,158,112,472
2016-11-01,GURU,United Kingdom,76,67,257
2016-11-01,BUSINESS,India,25,7,44
2016-11-01,GURU,India,54,40,157
2016-11-01,PRO,Canada,48,37,167
2016-11-01,PRO,India,111,76,310
2016-11-01,BUSINESS,Canada,8,6,15
2016-11-01,BUSINESS,United States,37,21,83
2016-12-01,PRO,France,49,29,143
2016-12-01,GURU,France,15,23,99
2016-12-01,PRO,United States,113,117,509
2016-12-01,GURU,United Kingdom,68,54,275
2016-12-01,PRO,United Kingdom,112,113,500
2016-12-01,GURU,United States,64,69,262
2016-12-01,BUSINESS,United Kingdom,16,21,99
2016-12-01,PRO,India,85,88,338
2016-12-01,GURU,Canada,18,16,94
2016-12-01,BUSINESS,Canada,8,4,17
2016-12-01,GURU,India,52,47,180
2016-12-01,BUSINESS,United States,16,26,97
2016-12-01,BUSINESS,India,16,18,60
2016-12-01,PRO,Canada,35,38,172
2016-12-01,BUSINESS,France,6,9,25
2017-01-01,GURU,United States,197,58,277
2017-01-01,BUSINESS,India,2,10,56
2017-01-01,GURU,United Kingdom,175,58,301
2017-01-01,PRO,India,53,77,327
2017-01-01,GURU,France,105,15,93
2017-01-01,PRO,Canada,37,31,156
